Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Jaime Jaquez Jr.,23.7,MIA,Wing,1328,35,76.3%,94,13.7%,47,0.8%,49,22.1%
DaQuan Jeffries,27.2,CHA,Forward,1020,53,78.6%,16,4.8%,16,0.5%,19,14.3%
Trey Jemison,24.9,NOP,Big,134,0,41.2%,99,23.3%,13,0.6%,17,14.3%
Trey Jemison,24.9,LAL,Big,183,0,50.0%,23,8.6%,28,1.0%,0,0.0%
Ty Jerome,27.3,CLE,Combo,1304,69,86.2%,78,11.4%,64,1.5%,83,30.0%
Isaiah Joe,25.3,OKC,Wing,1537,64,82.4%,12,3.4%,82,1.3%,66,26.3%
AJ Johnson,19.9,WAS,Wing,567,92,88.6%,65,8.7%,26,0.6%,35,17.6%
Cameron Johnson,28.7,BKN,Forward,1799,99,89.3%,62,10.2%,93,1.9%,47,20.5%
Jalen Johnson,22.9,ATL,Forward,1284,34,74.6%,69,11.0%,58,0.9%,78,28.1%
Keldon Johnson,25.0,SAS,Forward,1830,47,77.4%,81,12.1%,49,0.8%,91,32.0%
Keon Johnson,22.6,BKN,Combo,1892,29,75.4%,45,7.7%,36,1.0%,36,19.7%
Nikola Jokic,29.7,DEN,Big,2570,75,80.4%,53,11.9%,99,3.8%,85,31.6%
Colby Jones,22.4,WAS,Wing,361,1,64.5%,76,10.3%,90,1.6%,38,18.2%
Dillon Jones,23.0,OKC,Forward,422,0,66.7%,28,6.9%,23,0.5%,19,14.3%
Herbert Jones,26.1,NOP,Forward,648,74,82.5%,61,10.1%,34,0.7%,11,10.5%
Isaac Jones,25.3,SAC,Big,218,0,56.5%,96,20.6%,62,1.5%,94,38.5%
Kai Jones,23.8,DAL,Big,240,0,68.4%,84,16.4%,10,0.6%,95,41.7%
Kai Jones,23.8,LAC,Big,105,0,60.0%,70,14.3%,21,0.8%,86,33.3%
Tre Jones,24.8,SAS,Combo,446,19,74.2%,82,12.4%,61,1.4%,92,50.0%
Tre Jones,24.8,CHI,Wing,439,87,87.5%,72,9.9%,70,1.1%,70,26.7%
Tyus Jones,28.5,PHX,Point,2163,88,89.5%,6,2.5%,15,0.9%,23,17.6%
Derrick Jones Jr.,27.7,LAC,Big,1864,38,70.1%,32,9.9%,9,0.6%,79,29.0%
DeAndre Jordan,36.3,DEN,Big,670,0,40.3%,95,20.4%,85,2.2%,42,21.2%
Cory Joseph,33.2,ORL,Point,552,0,81.3%,15,5.8%,54,1.5%,90,37.5%
Nikola Jovic,21.4,MIA,Big,1139,88,83.7%,36,10.4%,45,1.2%,44,21.4%
Johnny Juzang,23.6,UTA,Wing,1225,81,85.7%,18,4.3%,21,0.6%,88,35.0%
Luke Kennard,28.4,MEM,Combo,1445,89,89.1%,15,3.3%,30,0.8%,77,28.6%
Walker Kessler,23.3,UTA,Big,1727,3,52.0%,87,16.9%,41,1.1%,92,35.4%
Corey Kispert,25.7,WAS,Forward,1596,81,85.2%,25,6.6%,8,0.4%,25,15.4%
Maxi Kleber,32.8,DAL,Big,636,0,76.2%,24,8.7%,38,1.1%,13,11.1%
Dalton Knecht,23.5,LAL,Wing,1417,31,75.3%,37,6.2%,30,0.7%,14,9.1%
Tyler Kolek,23.6,NYK,Point,208,0,63.6%,63,10.0%,63,1.7%,40,20.0%
Christian Koloko,24.4,LAL,Big,288,0,66.7%,14,6.7%,85,2.1%,0,0.0%
John Konchar,28.6,MEM,Wing,473,0,87.5%,36,6.0%,39,0.8%,94,40.0%
Luke Kornet,29.3,BOS,Big,1337,33,69.1%,81,16.1%,62,1.6%,28,18.0%
Vit Krejci,24.4,ATL,Wing,1120,16,71.1%,47,6.9%,25,0.6%,19,14.3%
Jonathan Kuminga,22.1,GSW,Forward,1118,14,68.0%,94,16.5%,63,1.0%,10,10.2%
Kyle Kuzma,29.3,WAS,Forward,886,5,60.2%,45,8.6%,80,1.4%,26,16.7%
