Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Joe Johnson,35.3,UTA,Forward,295,39,-2.0%,25,-4.2%,84,+10.1%,17,-7.5%,74,+3.9%,15,-20.5%,72,+4.7%,45,-1.2%
DeAndre Jordan,28.3,LAC,Big,224,45,-0.5%,67,+3.8%,98,+22.6%,46,+0.4%,92,+11.3%,11,-22.3%,63,+2.2%,22,-6.1%
Cory Joseph,25.2,TOR,Combo,205,31,-3.1%,40,-1.3%,33,-4.8%,76,+7.1%,62,+1.8%,48,-1.3%,18,-6.2%,30,-3.9%
Kyle Korver,35.6,CLE,Wing,312,41,-1.9%,16,-5.5%,39,-2.9%,72,+6.1%,64,+2.2%,28,-12.9%,64,+2.3%,36,-2.3%
David Lee,33.5,SAS,Big,237,83,+4.9%,58,+1.8%,76,+7.1%,28,-5.5%,57,+1.1%,78,+13.9%,91,+10.2%,93,+11.4%
Kawhi Leonard,25.3,SAS,Wing,428,87,+6.6%,67,+3.6%,77,+7.1%,46,+0.7%,75,+4.1%,76,+12.3%,92,+10.2%,92,+10.9%
Damian Lillard,26.3,POR,Point,150,4,-8.3%,0,-41.3%,96,+19.8%,41,-2.2%,89,+9.0%,2,-57.3%,98,+18.4%,42,-2.0%
Shaun Livingston,31.1,GSW,Combo,201,63,+1.7%,54,+1.1%,72,+5.5%,92,+14.7%,90,+10.0%,71,+9.3%,23,-5.3%,43,-1.7%
Robin Lopez,28.6,CHI,Big,161,37,-2.2%,97,+14.6%,20,-8.3%,29,-5.2%,17,-6.9%,15,-20.3%,21,-5.7%,7,-10.6%
Kevin Love,28.2,CLE,Big,576,37,-2.2%,32,-2.7%,19,-8.6%,27,-5.5%,16,-7.1%,72,+10.1%,45,-1.5%,63,+1.9%
Kyle Lowry,30.6,TOR,Point,299,97,+9.7%,72,+4.3%,54,+0.4%,54,+2.6%,59,+1.5%,85,+16.5%,97,+16.2%,98,+14.7%
Shelvin Mack,26.5,UTA,Point,141,56,+0.7%,36,-1.9%,53,+0.3%,79,+7.7%,72,+3.3%,40,-5.6%,63,+2.1%,53,+0.0%
Thon Maker,19.7,MIL,Big,114,89,+6.8%,94,+13.2%,59,+1.8%,30,-5.1%,41,-1.5%,55,+3.6%,50,-0.6%,58,+0.8%
Luc Mbah a Moute,30.1,LAC,Forward,208,3,-8.6%,10,-9.9%,50,-0.5%,71,+6.1%,70,+2.9%,7,-28.0%,11,-8.0%,6,-11.2%
Patrick McCaw,21.0,GSW,Wing,138,35,-2.3%,19,-5.0%,40,-2.7%,8,-12.6%,14,-7.9%,70,+9.2%,60,+1.2%,69,+3.1%
CJ McCollum,25.1,POR,Combo,138,55,+0.6%,98,+17.7%,3,-22.8%,11,-11.4%,1,-13.4%,84,+16.4%,27,-4.8%,49,-0.6%
JaVale McGee,28.8,GSW,Big,144,76,+4.0%,43,-1.0%,11,-11.2%,87,+11.0%,59,+1.6%,50,+0.1%,74,+5.1%,72,+4.0%
Khris Middleton,25.2,MIL,Wing,230,92,+7.5%,96,+14.5%,8,-14.3%,12,-9.9%,4,-12.0%,100,+45.7%,43,-1.8%,100,+16.6%
Patty Mills,28.2,SAS,Point,414,54,+0.4%,89,+9.7%,41,-2.6%,51,+1.9%,50,-0.2%,37,-8.4%,26,-4.8%,20,-6.4%
Paul Millsap,31.7,ATL,Big,218,68,+2.9%,88,+8.7%,55,+1.1%,63,+4.3%,72,+3.4%,67,+8.3%,46,-1.4%,52,-0.1%
