Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
AJ Griffin,20.2,ATL,Forward,128,15,0.4%,0,0.0%,89,2.0%,1,0.8%,53,12.0%,0,0.0%,48,16.7%
Quentin Grimes,23.5,DET,Wing,115,95,1.7%,88,1.9%,28,3.5%,2,0.8%,35,9.3%,0,0.0%,0,0.0%
Quentin Grimes,23.5,NYK,Wing,874,7,0.2%,46,1.3%,51,3.1%,15,1.5%,13,7.8%,0,0.0%,0,0.0%
Rui Hachimura,25.7,LAL,Forward,1785,38,0.7%,20,1.0%,84,2.2%,42,3.2%,43,11.5%,91,5.6%,77,27.0%
Ashton Hagans,24.3,POR,Combo,302,99,1.6%,64,1.6%,1,5.3%,92,4.6%,60,10.3%,0,0.0%,76,11.5%
Tyrese Haliburton,23.7,IND,Point,2223,88,1.0%,60,1.6%,98,1.3%,35,1.7%,51,10.3%,0,0.0%,74,8.9%
Tim Hardaway Jr.,31.6,DAL,Wing,2107,4,0.1%,11,0.8%,93,2.1%,7,1.0%,50,10.2%,56,0.8%,75,16.8%
James Harden,34.2,LAC,Combo,2464,92,1.2%,48,1.4%,87,2.0%,29,1.6%,87,12.7%,0,0.0%,99,28.2%
Jaden Hardy,20.3,DAL,Combo,852,12,0.2%,12,0.9%,33,3.6%,35,1.8%,74,11.3%,0,0.0%,66,7.7%
Gary Harris,29.1,ORL,Wing,1292,41,0.6%,79,1.7%,56,3.1%,32,2.0%,1,5.3%,0,0.0%,47,9.0%
Joe Harris,32.2,DET,Forward,163,34,0.6%,10,0.8%,15,4.4%,0,0.6%,1,5.9%,98,12.5%,0,0.0%
Tobias Harris,31.3,PHI,Forward,2359,64,1.0%,56,1.3%,93,1.8%,50,3.4%,79,15.4%,0,0.0%,53,17.3%
Josh Hart,28.7,NYK,Forward,2678,18,0.5%,45,1.2%,72,2.6%,71,4.6%,98,20.4%,61,1.8%,71,22.7%
Isaiah Hartenstein,25.5,NYK,Big,1889,74,2.3%,90,2.0%,34,4.2%,92,12.6%,65,19.1%,96,11.4%,63,32.9%
Sam Hauser,25.9,BOS,Forward,1653,43,0.7%,24,1.0%,79,2.3%,25,2.6%,48,11.7%,0,0.0%,51,16.9%
