Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Norman Powell,23.4,TOR,Wing,212,63,-3.6,35,+1.1,54,+0.0%,53,+0.4,35,+0.6,18,+11.2%,46,-1.3,44,+0.4,54,-0.3%,52,-1.5
Taurean Prince,22.6,ATL,Forward,185,59,-3.0,85,-3.5,29,+1.6%,85,-24.4,98,-4.1,46,+0.4%,85,-47.8,37,+0.9,19,+6.1%,67,-12.4
Zach Randolph,35.3,MEM,Big,189,89,-13.7,80,-3.1,63,-0.7%,70,-13.3,99,-4.6,3,+23.7%,98,-132.3,27,+1.6,81,-6.0%,10,+52.9
JJ Redick,32.4,LAC,Wing,183,7,+13.3,89,-3.9,52,+0.2%,90,-32.0,4,+3.1,82,-12.3%,2,+92.2,100,-7.0,50,+0.4%,100,-111.6
Andre Roberson,24.9,OKC,Wing,185,98,-27.2,79,-2.9,80,-2.5%,73,-17.2,73,-1.3,13,+14.4%,100,-176.9,71,-1.3,98,-11.3%,61,-8.3
Terry Rozier,22.6,BOS,Combo,209,84,-10.3,89,-3.8,89,-3.6%,88,-25.4,85,-1.9,63,-4.4%,70,-24.6,81,-2.1,78,-4.9%,84,-31.4
Dennis Schroder,23.1,ATL,Point,210,5,+14.3,1,+7.9,41,+1.2%,3,+41.8,48,+0.0,50,-0.3%,41,+6.9,0,+8.9,23,+4.9%,2,+81.7
Iman Shumpert,26.4,CLE,Combo,249,47,-0.3,63,-1.2,47,+0.6%,71,-15.9,63,-0.7,12,+15.7%,61,-16.2,67,-1.0,60,-1.3%,76,-21.8
Jonathon Simmons,27.1,SAS,Wing,279,37,+3.0,39,+0.7,8,+3.9%,50,+1.6,38,+0.5,60,-2.9%,43,+4.9,31,+1.0,20,+5.7%,39,+9.6
Marcus Smart,22.7,BOS,Wing,486,57,-2.2,61,-0.9,82,-2.6%,56,-3.7,64,-0.9,43,+1.5%,63,-17.3,55,-0.1,74,-3.6%,45,+4.9
JR Smith,31.1,CLE,Wing,485,36,+3.3,36,+1.1,46,+0.7%,25,+15.2,25,+1.0,76,-9.1%,23,+24.9,58,-0.3,35,+2.6%,41,+8.4
Jason Smith,30.7,WAS,Big,131,20,+8.1,42,+0.4,45,+0.8%,50,+2.4,32,+0.6,76,-9.1%,46,-0.4,46,+0.3,34,+2.7%,40,+9.3
Tony Snell,25.0,MIL,Wing,184,9,+12.0,18,+2.8,4,+4.4%,36,+8.3,10,+2.2,1,+27.6%,8,+54.4,41,+0.5,17,+6.8%,50,+1.4
Lance Stephenson,26.2,IND,Wing,107,52,-1.6,63,-1.3,100,-7.8%,60,-6.6,89,-2.1,85,-14.3%,90,-66.7,64,-0.8,100,-15.3%,69,-14.3
Jeff Teague,28.4,IND,Point,142,91,-15.7,20,+2.5,43,+0.9%,11,+30.8,33,+0.6,74,-8.3%,33,+14.3,8,+4.2,58,-1.0%,2,+74.1
Isaiah Thomas,27.7,BOS,Point,477,72,-6.0,41,+0.7,31,+1.4%,49,+2.8,8,+2.4,46,+0.9%,15,+43.0,75,-1.5,50,+0.2%,75,-18.3
Klay Thompson,26.7,GSW,Wing,592,73,-7.0,33,+1.3,38,+1.3%,27,+13.9,37,+0.5,73,-8.3%,42,+6.6,34,+1.0,40,+1.5%,28,+22.8
Tristan Thompson,25.6,CLE,Big,560,62,-3.6,54,-0.2,64,-0.8%,52,+0.5,43,+0.3,54,-1.6%,49,-2.7,62,-0.5,62,-1.5%,47,+3.0
PJ Tucker,31.5,TOR,Forward,250,83,-10.3,80,-3.0,69,-1.6%,78,-21.3,87,-2.1,93,-23.2%,60,-15.5,66,-0.9,63,-1.6%,73,-16.9
Evan Turner,28.0,POR,Wing,123,94,-20.6,10,+4.3,20,+2.5%,24,+15.4,20,+1.3,35,+4.0%,24,+23.9,15,+3.3,2,+11.9%,32,+16.2
Myles Turner,20.6,IND,Big,133,88,-13.6,93,-4.7,66,-1.1%,95,-46.2,26,+0.9,95,-27.5%,28,+20.0,94,-3.6,21,+5.0%,94,-49.1
Jonas Valanciunas,24.5,TOR,Big,221,38,+2.4,13,+4.1,28,+1.8%,11,+31.7,28,+0.8,66,-5.3%,24,+24.2,20,+2.4,10,+7.7%,20,+29.7
Dwyane Wade,34.8,CHI,Wing,190,93,-18.3,87,-3.7,26,+2.0%,91,-32.6,67,-1.1,86,-15.7%,73,-33.3,82,-2.3,4,+10.1%,97,-52.5
John Wall,26.2,WAS,Point,464,51,-1.3,56,-0.3,15,+2.6%,74,-17.7,71,-1.2,41,+2.3%,80,-42.0,54,+0.0,15,+7.2%,68,-14.0
David West,36.2,GSW,Big,211,53,-1.7,77,-2.6,48,+0.6%,72,-16.4,23,+1.1,27,+6.8%,28,+19.4,91,-3.4,89,-6.8%,93,-46.5
Russell Westbrook,28.0,OKC,Point,194,99,-51.3,90,-4.3,56,-0.1%,96,-47.4,55,-0.4,30,+4.9%,92,-69.2,93,-3.6,46,+0.9%,96,-51.2
Deron Williams,32.4,CLE,Point,229,74,-7.2,58,-0.4,60,-0.5%,63,-7.8,72,-1.2,24,+7.5%,77,-39.3,28,+1.5,67,-2.1%,33,+14.8
Lou Williams,30.0,HOU,Wing,265,44,+0.8,7,+4.8,80,-2.6%,8,+33.1,53,-0.1,77,-9.2%,37,+10.6,2,+5.0,56,-0.6%,7,+56.6
Thaddeus Young,28.4,IND,Big,140,97,-25.5,50,-0.0,49,+0.4%,46,+4.0,34,+0.6,16,+12.1%,33,+14.3,25,+1.6,73,-3.3%,19,+32.5
Paul Zipser,22.7,CHI,Forward,127,24,+6.8,48,+0.0,93,-4.3%,34,+10.0,74,-1.3,8,+16.8%,63,-17.6,35,+0.9,98,-11.2%,13,+40.0
