Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Paul George,27.5,OKC,Wing,250,73,+3.6%,44,-0.1%,0,-14.7%,72,+2.0%,1,-12.6%,98,+4.5%,97,+8.2%,100,+12.7%
Taj Gibson,32.4,MIN,Big,122,32,-1.2%,48,+0.5%,52,+0.3%,9,-6.1%,20,-5.8%,94,+3.2%,69,+2.1%,87,+5.3%
Manu Ginobili,40.3,SAS,Wing,106,71,+3.3%,51,+0.9%,97,+6.5%,3,-10.0%,34,-3.4%,97,+4.0%,35,-1.5%,67,+2.5%
Rudy Gobert,25.3,UTA,Big,381,45,+0.0%,65,+2.0%,64,+1.5%,46,-1.0%,54,+0.5%,69,+1.2%,16,-3.6%,30,-2.4%
Eric Gordon,28.9,HOU,Wing,546,26,-2.4%,53,+1.3%,2,-7.7%,61,+0.5%,14,-7.2%,6,-3.4%,98,+9.2%,90,+5.8%
Marcin Gortat,33.7,WAS,Big,159,94,+7.6%,2,-8.1%,94,+5.8%,94,+6.9%,99,+12.7%,15,-1.9%,21,-2.7%,13,-4.6%
Jerami Grant,23.6,OKC,Big,128,52,+0.8%,65,+2.0%,40,-0.7%,16,-4.7%,23,-5.3%,19,-1.7%,85,+5.0%,70,+3.3%
Danny Green,30.4,SAS,Wing,102,20,-3.5%,6,-6.9%,6,-5.9%,99,+10.7%,81,+4.8%,14,-1.9%,81,+4.1%,65,+2.1%
Draymond Green,27.7,GSW,Big,816,87,+5.4%,78,+4.0%,29,-2.1%,11,-5.8%,10,-7.9%,74,+1.4%,74,+2.5%,73,+3.9%
Gerald Green,31.8,HOU,Wing,249,50,+0.6%,39,-0.9%,12,-4.3%,56,+0.2%,31,-4.1%,53,-0.1%,87,+5.1%,83,+5.0%
Jeff Green,31.2,CLE,Big,493,24,-2.7%,19,-4.4%,46,-0.1%,97,+8.0%,91,+7.9%,18,-1.8%,33,-1.6%,21,-3.4%
James Harden,28.2,HOU,Combo,619,67,+2.8%,87,+6.0%,66,+1.5%,23,-3.5%,45,-1.9%,79,+2.0%,7,-6.2%,19,-4.1%
Nene Hilario,35.1,HOU,Big,107,62,+2.0%,10,-6.2%,19,-3.5%,50,-0.7%,31,-4.2%,48,-0.2%,99,+10.6%,98,+10.4%
George Hill,31.5,CLE,Combo,555,86,+5.4%,73,+3.3%,51,+0.2%,33,-2.1%,46,-1.9%,31,-0.9%,44,-0.5%,40,-1.4%
Jrue Holiday,27.4,NOP,Combo,347,27,-2.2%,98,+8.4%,75,+2.7%,4,-9.5%,15,-6.8%,19,-1.7%,51,+0.2%,39,-1.6%
Rodney Hood,25.0,CLE,Wing,228,3,-7.6%,37,-1.0%,89,+4.9%,86,+4.5%,96,+9.4%,5,-3.5%,10,-4.9%,3,-8.4%
Al Horford,31.4,BOS,Big,677,75,+3.8%,45,+0.3%,31,-2.0%,52,-0.6%,37,-2.7%,73,+1.4%,60,+1.0%,66,+2.3%
Serge Ibaka,28.1,TOR,Big,258,92,+6.8%,7,-6.7%,82,+3.7%,91,+5.5%,95,+9.2%,12,-2.2%,46,-0.3%,28,-2.5%
Andre Iguodala,33.8,GSW,Wing,400,60,+1.8%,41,-0.3%,32,-1.8%,77,+2.8%,58,+1.0%,30,-0.9%,52,+0.3%,44,-0.7%
Ersan Ilyasova,30.5,PHI,Big,231,43,-0.0%,48,+0.7%,19,-3.5%,64,+1.0%,38,-2.5%,65,+0.9%,60,+0.9%,60,+1.8%
Joe Ingles,30.1,UTA,Wing,379,85,+5.2%,80,+4.4%,10,-4.9%,56,+0.2%,27,-4.7%,83,+2.4%,24,-2.1%,52,+0.3%
LeBron James,32.8,CLE,Forward,912,100,+14.0%,93,+7.4%,71,+2.5%,2,-13.2%,4,-10.7%,94,+3.3%,48,-0.1%,69,+3.3%
James Johnson,30.7,MIA,Big,160,59,+1.8%,31,-2.5%,3,-7.0%,88,+4.6%,40,-2.4%,48,-0.2%,88,+5.1%,81,+4.9%
