Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Lamar Patterson,24.2,ATL,Wing,348,93,+6.6,65,+0.4,4,-3.8%,88,+11.0,25,-0.5,2,-18.1%,66,+6.3,82,+0.9,14,-4.1%,85,+12.4
Patrick Patterson,26.6,TOR,Big,1998,95,+7.6,66,+0.5,58,+0.2%,50,-0.1,79,+0.6,30,-3.4%,80,+12.8,51,+0.0,66,+1.3%,36,-4.4
Chris Paul,30.5,LAC,Point,2414,100,+13.9,91,+1.8,95,+2.7%,85,+9.8,62,+0.2,86,+7.7%,51,+0.7,87,+1.2,87,+3.9%,87,+13.1
Adreian Payne,24.7,MIN,Big,430,13,-5.6,93,+1.9,26,-1.1%,93,+13.6,90,+0.9,64,+2.2%,85,+16.2,84,+1.0,25,-2.5%,80,+9.7
Cameron Payne,21.2,OKC,Combo,560,22,-4.1,14,-1.3,7,-2.8%,29,-4.8,37,-0.2,5,-11.2%,34,-6.2,26,-0.6,10,-4.9%,51,+0.6
Elfrid Payton,21.7,ORL,Point,2140,38,-1.6,89,+1.7,82,+1.5%,83,+8.6,88,+0.8,78,+5.0%,72,+8.5,79,+0.8,68,+1.7%,73,+6.7
Nikola Pekovic,29.8,MIN,Big,156,11,-6.4,19,-1.1,2,-4.1%,37,-3.1,28,-0.4,3,-14.2%,67,+6.4,26,-0.7,5,-6.3%,20,-10.3
Kendrick Perkins,31.0,NOP,Big,537,67,+1.6,78,+0.9,23,-1.3%,93,+13.8,87,+0.8,30,-3.5%,98,+40.1,60,+0.2,47,-0.6%,64,+4.5
Paul Pierce,38.1,LAC,Forward,1206,28,-3.0,40,-0.5,60,+0.3%,23,-6.6,29,-0.4,20,-5.3%,37,-4.8,49,-0.0,79,+2.9%,29,-6.6
Mason Plumlee,25.7,POR,Big,2076,78,+3.1,86,+1.3,82,+1.5%,81,+8.1,76,+0.5,89,+8.3%,61,+4.4,80,+0.9,81,+3.2%,82,+10.5
Miles Plumlee,27.2,MIL,Big,784,16,-4.9,12,-1.5,66,+0.7%,6,-15.4,35,-0.3,11,-7.2%,52,+1.5,17,-0.9,86,+3.8%,8,-16.4
Otto Porter,22.4,WAS,Forward,2266,66,+1.5,66,+0.5,84,+1.6%,56,+1.0,85,+0.7,63,+1.9%,76,+10.0,45,-0.1,89,+4.3%,39,-3.2
Bobby Portis,20.7,CHI,Big,1053,32,-2.5,30,-0.7,44,-0.3%,16,-8.7,16,-0.7,56,+0.5%,5,-27.3,46,-0.1,65,+1.3%,40,-2.9
Kristaps Porzingis,20.2,NYK,Big,2031,73,+2.3,16,-1.2,37,-0.6%,25,-6.2,37,-0.2,13,-6.6%,46,-1.6,16,-1.0,33,-1.6%,26,-8.0
Dwight Powell,24.3,DAL,Big,927,8,-7.3,41,-0.4,86,+1.8%,12,-10.6,82,+0.6,70,+3.5%,55,+2.8,25,-0.7,83,+3.4%,8,-16.4
Norman Powell,22.4,TOR,Wing,671,65,+1.3,97,+2.6,70,+0.8%,97,+17.5,92,+1.0,42,-1.7%,92,+23.7,92,+1.4,57,+0.4%,89,+14.0
Phil Pressey,24.7,PHI,Point,150,89,+5.4,100,+4.9,99,+4.7%,99,+30.0,100,+3.0,93,+10.6%,96,+30.8,98,+2.2,84,+3.6%,98,+29.5
Phil Pressey,24.7,PHX,Point,101,69,+1.8,3,-2.9,96,+3.0%,1,-33.0,5,-1.3,15,-6.4%,0,-44.8,23,-0.7,99,+11.5%,5,-20.6
Ronnie Price,32.4,PHX,Point,1177,36,-2.0,15,-1.2,76,+1.1%,18,-7.9,60,+0.2,67,+2.7%,46,-1.6,10,-1.2,51,-0.3%,15,-12.2
Pablo Prigioni,38.5,LAC,Point,699,5,-9.6,45,-0.2,6,-3.0%,58,+1.7,45,-0.1,6,-10.8%,52,+1.5,67,+0.4,3,-7.3%,75,+7.9
Tayshaun Prince,35.7,MIN,Forward,1446,19,-4.5,37,-0.6,9,-2.6%,60,+2.2,35,-0.3,1,-18.2%,81,+13.5,39,-0.2,7,-5.8%,47,-0.9
Julius Randle,20.9,LAL,Big,2229,20,-4.4,14,-1.2,33,-0.8%,20,-7.4,39,-0.2,47,-0.7%,66,+6.2,15,-1.0,62,+1.0%,15,-12.4
Zach Randolph,34.3,MEM,Big,2003,74,+2.4,7,-1.9,31,-0.9%,4,-19.0,9,-1.0,53,+0.3%,7,-23.5,24,-0.7,56,+0.3%,17,-11.1
JJ Redick,31.4,LAC,Wing,2093,99,+10.7,90,+1.7,81,+1.4%,90,+11.7,51,+0.0,76,+4.4%,50,+0.2,92,+1.4,75,+2.3%,94,+19.1
