Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Brent Barry,35.8,SAS,Wing,520,75,+1.4%,78,+2.6%,9,-3.3%,5,-5.8%,3,-9.0%,14,-1.8%,98,+8.3%,93,+6.5%
Brandon Bass,22.5,DAL,Big,1508,14,-3.4%,24,-2.5%,88,+3.0%,65,+1.3%,83,+4.3%,61,+0.3%,23,-2.0%,36,-1.7%
Shane Battier,29.1,HOU,Forward,2901,81,+1.9%,27,-2.3%,76,+1.6%,20,-3.1%,34,-1.5%,77,+1.0%,82,+2.7%,83,+3.8%
Marco Belinelli,21.6,GSW,Wing,173,2,-6.5%,29,-2.1%,71,+1.4%,48,-0.1%,61,+1.3%,62,+0.3%,60,+0.5%,61,+0.8%
Charlie Bell,28.6,MIL,Combo,1522,31,-1.6%,20,-2.7%,3,-4.7%,34,-1.4%,9,-6.1%,94,+2.7%,95,+6.0%,96,+8.8%
Raja Bell,31.1,PHX,Wing,2633,70,+1.1%,30,-2.0%,38,-0.9%,62,+1.1%,49,+0.2%,81,+1.3%,61,+0.5%,68,+1.8%
Mike Bibby,29.5,SAC,Point,469,84,+2.1%,34,-1.6%,17,-2.5%,34,-1.4%,17,-3.9%,81,+1.4%,91,+4.1%,90,+5.5%
Mike Bibby,29.5,ATL,Point,1098,89,+2.6%,26,-2.3%,7,-3.8%,44,-0.4%,16,-4.2%,64,+0.4%,95,+6.1%,93,+6.5%
Andris Biedrins,21.6,GSW,Big,2072,70,+1.0%,95,+5.5%,64,+0.9%,29,-2.2%,36,-1.3%,25,-1.1%,13,-3.1%,13,-4.2%
Chauncey Billups,31.1,DET,Point,2519,88,+2.5%,9,-4.4%,15,-2.8%,60,+0.9%,31,-1.9%,61,+0.3%,95,+6.0%,92,+6.3%
Steve Blake,27.7,POR,Point,2415,95,+3.7%,8,-4.8%,77,+1.8%,70,+2.0%,80,+3.8%,18,-1.6%,80,+2.5%,62,+0.9%
Andray Blatche,21.2,WAS,Big,1579,35,-1.3%,67,+1.2%,56,+0.3%,68,+1.7%,66,+2.0%,13,-1.9%,32,-1.3%,20,-3.2%
Mark Blount,31.9,MIA,Big,1503,63,+0.6%,16,-3.3%,12,-3.0%,76,+2.6%,43,-0.4%,80,+1.2%,80,+2.5%,83,+3.7%
Keith Bogans,27.5,ORL,Wing,2167,54,-0.0%,31,-1.9%,40,-0.9%,53,+0.3%,42,-0.6%,75,+0.9%,72,+1.6%,75,+2.5%
Andrew Bogut,22.9,MIL,Big,2697,99,+6.0%,88,+3.7%,75,+1.6%,21,-2.9%,36,-1.3%,24,-1.2%,35,-1.1%,29,-2.3%
Matt Bonner,27.6,SAS,Big,748,34,-1.4%,21,-2.7%,11,-3.0%,53,+0.3%,25,-2.7%,67,+0.6%,93,+4.8%,89,+5.4%
Josh Boone,22.9,NJN,Big,1737,79,+1.7%,97,+6.8%,61,+0.6%,16,-3.5%,24,-2.9%,31,-0.9%,13,-3.0%,15,-3.9%
Calvin Booth,31.5,PHI,Big,200,9,-4.4%,1,-8.6%,81,+2.3%,95,+6.6%,97,+9.0%,39,-0.5%,53,+0.1%,50,-0.4%
Carlos Boozer,25.9,UTA,Big,2820,99,+5.8%,98,+7.2%,27,-1.6%,18,-3.4%,13,-5.0%,27,-1.1%,37,-1.1%,31,-2.1%
Chris Bosh,23.6,TOR,Big,2416,91,+3.1%,42,-0.8%,61,+0.6%,29,-2.0%,35,-1.4%,78,+1.1%,68,+1.1%,72,+2.2%
Bruce Bowen,36.4,SAS,Wing,2434,44,-0.6%,58,+0.6%,96,+5.1%,64,+1.2%,93,+6.3%,35,-0.7%,2,-6.2%,4,-6.9%
