bet_num,date,bet_size,bet_result,profit,bankroll
2370,2025-03-19,30.540072151295433,WIN,31.150873594321343,1949.7806835426672
2371,2025-03-19,10.0,WIN,7.692307692307693,1957.4729912349749
2372,2025-03-19,47.65556973206606,WIN,52.42112670527267,2009.8941179402475
2376,2025-03-19,10.0,LOSS,-10.0,1999.8941179402475
2377,2025-03-19,38.45510689639388,WIN,40.37786224121358,2040.271980181461
2380,2025-03-19,10.0,LOSS,-10.0,2030.271980181461
2381,2025-03-19,10.0,LOSS,-10.0,2020.271980181461
2383,2025-03-19,10.0,LOSS,-10.0,2010.271980181461
2385,2025-03-19,38.65465836177493,LOSS,-38.65465836177493,1971.6173218196861
2387,2025-03-20,15.161737204793358,WIN,14.439749718850818,1986.057071538537
2394,2025-03-20,15.272778880131321,LOSS,-15.272778880131321,1970.7842926584058
2401,2025-03-20,17.48479824446543,WIN,16.812306004293685,1987.5965986626995
2402,2025-03-20,19.983296202954772,LOSS,-19.983296202954772,1967.6133024597448
2406,2025-03-20,15.13094629591541,WIN,14.410425043728962,1982.0237275034738
2411,2025-03-20,17.584514510410873,WIN,16.908187029241226,1998.931914532715
2413,2025-03-20,27.185474037644926,LOSS,-27.185474037644926,1971.74644049507
2414,2025-03-20,15.16273012740706,LOSS,-15.16273012740706,1956.583710367663
2419,2025-03-21,10.0,LOSS,-10.0,1946.583710367663
2420,2025-03-21,14.9692287327273,WIN,14.256408316883144,1960.840118684546
2432,2025-03-22,19.714286553254418,LOSS,-19.714286553254418,1941.1258321312916
2435,2025-03-22,26.399311316985568,WIN,26.399311316985568,1967.5251434482773
2436,2025-03-22,10.0,LOSS,-10.0,1957.5251434482773
2438,2025-03-22,10.0,LOSS,-10.0,1947.5251434482773
2440,2025-03-22,12.674493633561402,WIN,11.957069465623965,1959.4822129139013
2444,2025-03-22,26.64895809562906,LOSS,-26.64895809562906,1932.8332548182723
2445,2025-03-22,10.0,WIN,9.09090909090909,1941.9241639091813
2446,2025-03-22,14.933396820461576,WIN,14.222282686153882,1956.1464465953352
2448,2025-03-22,10.0,LOSS,-10.0,1946.1464465953352
