PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Al Horford,2023-10-25,al horford,BOS,NYK,17,14.48133,-2.518670082092285,2.518670082092285,13.5,115.0,-119.0,"BetMGM, Caesars, BetOnline.ag",17,14.48133,13.5,0.9813299999999998,0.9813299999999998,0.46511627906976744,0.54337899543379,NONE,0.0,False,False,False
Al Horford,2023-10-27,al horford,BOS,MIA,12,14.117122,2.117121696472168,2.117121696472168,13.5,-104.0,102.0,"BetOnline.ag, FanDuel, Caesars",12,14.117122,13.5,0.6171220000000002,0.6171220000000002,0.5098039215686274,0.49504950495049505,NONE,0.0,False,False,False
Al Horford,2023-10-30,al horford,BOS,WAS,14,8.397089,-5.602910995483398,5.602910995483398,15.5,105.0,-103.0,"BetOnline.ag, Caesars, BetMGM",14,8.397089,15.5,-7.102911000000001,7.102911000000001,0.4878048780487805,0.5073891625615764,UNDER,97.0873786407767,True,False,False
Al Horford,2023-11-24,al horford,BOS,ORL,11,18.95781,7.9578094482421875,7.9578094482421875,17.5,-101.0,-108.0,"FanDuel, DraftKings, PointsBet (US)",11,18.95781,17.5,1.4578099999999985,1.4578099999999985,0.5024875621890548,0.5192307692307693,NONE,0.0,False,False,False
Al Horford,2023-11-26,al horford,BOS,ATL,24,17.554502,-6.445497512817383,6.445497512817383,20.5,-103.0,-104.0,"DraftKings, FanDuel, PointsBet (US)",24,17.554502,20.5,-2.9454980000000006,2.9454980000000006,0.5073891625615764,0.5098039215686274,NONE,0.0,False,False,False
Al Horford,2023-12-17,al horford,BOS,ORL,18,15.493275,-2.506725311279297,2.506725311279297,15.5,-102.0,-105.0,"Caesars, PointsBet (US), FanDuel",18,15.493275,15.5,-0.006724999999999426,0.006724999999999426,0.504950495049505,0.5121951219512195,NONE,0.0,False,False,False
Al Horford,2023-12-23,al horford,BOS,LAC,19,17.24501,-1.7549896240234375,1.7549896240234375,21.5,-105.0,188.0,"DraftKings, FanDuel, PointsBet (US)",19,17.24501,21.5,-4.254989999999999,4.254989999999999,0.5121951219512195,0.3472222222222222,UNDER,188.0,True,False,False
Al Horford,2023-12-25,al horford,BOS,LAL,13,14.978781,1.978780746459961,1.978780746459961,8.5,105.0,100.0,"DraftKings, FanDuel, Bovada",13,14.978781,8.5,6.478781,6.478781,0.4878048780487805,0.5,OVER,105.0,True,False,False
Al Horford,2024-02-04,al horford,BOS,MEM,18,14.117627,-3.8823728561401367,3.8823728561401367,18.5,-105.0,-109.0,"DraftKings, BetOnline.ag, PointsBet (US)",18,14.117627,18.5,-4.382372999999999,4.382372999999999,0.5121951219512195,0.5215311004784688,UNDER,91.74311926605505,True,False,False
Al Horford,2024-02-11,al horford,BOS,MIA,9,14.423679,5.423679351806641,5.423679351806641,14.5,-115.0,-110.0,"PointsBet (US), Caesars, BetOnline.ag",9,14.423679,14.5,-0.07632100000000008,0.07632100000000008,0.5348837209302325,0.5238095238095238,NONE,0.0,False,False,False
Al Horford,2024-03-03,al horford,BOS,GSW,15,12.154589,-2.8454113006591797,2.8454113006591797,19.5,132.0,-113.0,"DraftKings, BetOnline.ag, PointsBet (US)",15,12.154589,19.5,-7.345411,7.345411,0.43103448275862066,0.5305164319248826,UNDER,88.49557522123894,True,False,False
Al Horford,2024-03-14,al horford,BOS,PHX,30,19.290697,-10.70930290222168,10.70930290222168,19.5,-109.0,-115.0,"DraftKings, PointsBet (US), BetMGM",30,19.290697,19.5,-0.20930299999999846,0.20930299999999846,0.5215311004784688,0.5348837209302325,NONE,0.0,False,False,False
Al Horford,2024-03-17,al horford,BOS,WAS,20,13.446579,-6.5534210205078125,6.5534210205078125,23.5,-105.0,138.0,"DraftKings, FanDuel, PointsBet (US)",20,13.446579,23.5,-10.053421,10.053421,0.5121951219512195,0.42016806722689076,UNDER,138.0,True,False,False
Al Horford,2024-03-20,al horford,BOS,MIL,16,24.592545,8.592544555664062,8.592544555664062,17.5,-105.0,100.0,"DraftKings, PointsBet (US), BetMGM",16,24.592545,17.5,7.092545000000001,7.092545000000001,0.5121951219512195,0.5,OVER,-100.0,False,False,True
Al Horford,2024-03-25,al horford,BOS,ATL,18,22.960222,4.960222244262695,4.960222244262695,18.5,-108.0,-120.0,"DraftKings, PointsBet (US), BetOnline.ag",18,22.960222,18.5,4.460222000000002,4.460222000000002,0.5192307692307693,0.5454545454545454,OVER,-100.0,False,False,True
Al Horford,2024-03-30,al horford,BOS,NOP,17,17.312752,0.3127517700195312,0.3127517700195312,13.5,-120.0,-110.0,"BetMGM, Caesars",17,17.312752,13.5,3.8127519999999997,3.8127519999999997,0.5454545454545454,0.5238095238095238,OVER,83.33333333333334,True,False,False
Al Horford,2024-04-01,al horford,BOS,CHA,23,13.301505,-9.698494911193848,9.698494911193848,19.5,105.0,-110.0,"DraftKings, BetOnline.ag, PointsBet (US)",23,13.301505,19.5,-6.198494999999999,6.198494999999999,0.4878048780487805,0.5238095238095238,UNDER,-100.0,False,False,True
Al Horford,2024-04-03,al horford,BOS,OKC,22,15.494628,-6.505372047424316,6.505372047424316,13.5,-123.0,-105.0,"BetMGM, Caesars, BetOnline.ag",22,15.494628,13.5,1.9946280000000005,1.9946280000000005,0.5515695067264574,0.5121951219512195,NONE,0.0,False,False,False
Al Horford,2024-04-05,al horford,BOS,SAC,15,11.320564,-3.6794357299804688,3.6794357299804688,19.5,105.0,-115.0,"DraftKings, PointsBet (US), FanDuel",15,11.320564,19.5,-8.179436,8.179436,0.4878048780487805,0.5348837209302325,UNDER,86.95652173913044,True,False,False
Al Horford,2024-04-07,al horford,BOS,POR,16,13.222048,-2.777952194213867,2.777952194213867,16.5,-105.0,-105.0,"DraftKings, PointsBet (US), Caesars",16,13.222048,16.5,-3.277952000000001,3.277952000000001,0.5121951219512195,0.5121951219512195,UNDER,95.23809523809523,True,False,False
Al Horford,2024-04-11,al horford,BOS,NYK,9,9.3977995,0.3977994918823242,0.3977994918823242,12.5,-112.0,-110.0,"BetOnline.ag, Caesars, BetMGM",9,9.3977995,12.5,-3.1022005000000004,3.1022005000000004,0.5283018867924528,0.5238095238095238,UNDER,90.9090909090909,True,False,False
Al Horford,2024-04-21,al horford,BOS,MIA,17,17.087143,0.0871429443359375,0.0871429443359375,13.5,-108.0,-110.0,"BetOnline.ag, Caesars, BetMGM",17,17.087143,13.5,3.587143000000001,3.587143000000001,0.5192307692307693,0.5238095238095238,OVER,92.5925925925926,True,False,False
Al Horford,2024-04-24,al horford,BOS,MIA,17,14.558022,-2.441978454589844,2.441978454589844,14.5,105.0,-120.0,"DraftKings, PointsBet (US), BetOnline.ag",17,14.558022,14.5,0.05802199999999935,0.05802199999999935,0.4878048780487805,0.5454545454545454,NONE,0.0,False,False,False
Al Horford,2024-04-27,al horford,BOS,MIA,16,13.895422,-2.104578018188477,2.104578018188477,14.5,100.0,-115.0,"DraftKings, BetMGM, FanDuel",16,13.895422,14.5,-0.6045780000000001,0.6045780000000001,0.5,0.5348837209302325,NONE,0.0,False,False,False
Al Horford,2024-04-29,al horford,BOS,MIA,17,21.138481,4.138481140136719,4.138481140136719,13.5,-110.0,-108.0,"BetOnline.ag, Caesars, BetMGM",17,21.138481,13.5,7.638480999999999,7.638480999999999,0.5238095238095238,0.5192307692307693,OVER,90.9090909090909,True,False,False
Al Horford,2024-05-01,al horford,BOS,MIA,17,13.113506,-3.886493682861328,3.886493682861328,20.5,160.0,115.0,"DraftKings, PointsBet (US), BetOnline.ag",17,13.113506,20.5,-7.386494000000001,7.386494000000001,0.38461538461538464,0.46511627906976744,UNDER,115.0,True,False,False
Al Horford,2024-05-07,al horford,BOS,CLE,19,16.143812,-2.8561878204345703,2.8561878204345703,20.5,155.0,-110.0,"DraftKings, FanDuel, BetMGM",19,16.143812,20.5,-4.3561879999999995,4.3561879999999995,0.39215686274509803,0.5238095238095238,UNDER,90.9090909090909,True,False,False
Al Horford,2024-05-09,al horford,BOS,CLE,14,16.92337,2.923370361328125,2.923370361328125,19.5,130.0,105.0,"DraftKings, FanDuel, Caesars",14,16.92337,19.5,-2.5766300000000015,2.5766300000000015,0.43478260869565216,0.4878048780487805,NONE,0.0,False,False,False
Al Horford,2024-05-13,al horford,BOS,CLE,12,14.195667,2.195667266845703,2.195667266845703,18.5,105.0,175.0,"DraftKings, FanDuel, BetOnline.ag",12,14.195667,18.5,-4.304333,4.304333,0.4878048780487805,0.36363636363636365,UNDER,175.0,True,False,False
Al Horford,2024-05-15,al horford,BOS,CLE,42,19.101717,-22.898283004760746,22.898283004760746,17.5,105.0,155.0,"DraftKings, FanDuel, Caesars",42,19.101717,17.5,1.6017170000000007,1.6017170000000007,0.4878048780487805,0.39215686274509803,NONE,0.0,False,False,False
Alec Burks,2023-10-25,alec burks,DET,MIA,12,12.4161035,0.4161038398742676,0.4161038398742676,11.5,100.0,-130.0,"BetMGM, PointsBet (US)",12,12.4161035,11.5,0.9161035000000002,0.9161035000000002,0.5,0.5652173913043478,NONE,0.0,False,False,False
