PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost,predicted_PRA_calibrated,quality_score
Trey Murphy III,2025-01-05,trey murphy iii,32,28.504288,-3.4957123,3.4957123,30.5,-106.0,-105.0,"BetOnline.ag, DraftKings, Caesars",32,28.504288,30.5,-6.8089887640449405,6.8089887640449405,0.5145631067961165,0.5121951219512195,UNDER,0.0,False,False,False,23.69101123595506,0.865
Sam Hauser,2025-01-05,sam hauser,4,11.641241,7.641241,7.641241,7.5,-125.0,100.0,"Caesars, BetMGM",4,11.641241,7.5,6.650900900900901,6.650900900900901,0.5555555555555556,0.5,OVER,-100.0,False,False,True,14.1509009009009,0.75
Collin Sexton,2025-01-11,collin sexton,28,28.947565,0.9475651,0.9475651,30.5,100.0,-110.0,"DraftKings, BetMGM, FanDuel",28,28.947565,30.5,-6.8089887640449405,6.8089887640449405,0.5,0.5238095238095238,UNDER,0.0,True,False,False,23.69101123595506,0.865
Jalen Williams,2025-01-12,jalen williams,25,30.995512,5.995512,5.995512,32.5,-108.0,-109.0,"BetOnline.ag, DraftKings, Caesars",25,30.995512,32.5,-6.692982456140349,6.692982456140349,0.5192307692307693,0.5215311004784688,UNDER,0.0,True,False,False,25.80701754385965,0.795
Josh Giddey,2025-01-12,josh giddey,30,26.68845,-3.3115501,3.3115501,29.5,104.0,-105.0,"FanDuel, DraftKings, BetRivers",30,26.68845,29.5,-6.293103448275861,6.293103448275861,0.4901960784313725,0.5121951219512195,UNDER,0.0,False,False,False,23.20689655172414,0.7749999999999999
Paul George,2025-01-12,paul george,41,28.971148,-12.028852,12.028852,30.5,-104.0,-105.0,"DraftKings, FanDuel, Caesars",41,28.971148,30.5,-6.8089887640449405,6.8089887640449405,0.5098039215686274,0.5121951219512195,UNDER,0.0,False,False,False,23.69101123595506,0.865
Darius Garland,2025-01-12,darius garland,28,28.452065,0.4520645,0.4520645,30.5,-114.0,-104.0,"BetOnline.ag, DraftKings, Caesars",28,28.452065,30.5,-6.8089887640449405,6.8089887640449405,0.5327102803738317,0.5098039215686274,UNDER,0.0,True,False,False,23.69101123595506,0.865
Bam Adebayo,2025-01-19,bam adebayo,22,27.218071,5.218071,5.218071,29.5,-110.0,105.0,"BetOnline.ag, DraftKings, Caesars",22,27.218071,29.5,-6.2864077669902905,6.2864077669902905,0.5238095238095238,0.4878048780487805,UNDER,0.0,True,False,False,23.21359223300971,0.7749999999999999
Kel'el Ware,2025-01-19,kel'el ware,35,15.662362,-19.337639,19.337639,11.5,-120.0,-110.0,"Caesars, BetMGM",35,15.662362,11.5,6.00228310502283,6.00228310502283,0.5454545454545454,0.5238095238095238,OVER,83.33333333333334,True,False,False,17.50228310502283,0.765
D'Angelo Russell,2025-01-25,d'angelo russell,29,22.731173,-6.2688274,6.2688274,26.5,-113.0,-114.0,"BetOnline.ag, DraftKings, Caesars",29,22.731173,26.5,-6.085253456221199,6.085253456221199,0.5305164319248826,0.5327102803738317,UNDER,-100.0,False,False,True,20.4147465437788,0.7749999999999999
DeAndre Jordan,2025-01-25,deandre jordan,10,9.578701,-0.42129898,0.42129898,7.5,-125.0,-105.0,BetMGM,10,9.578701,7.5,6.650900900900901,6.650900900900901,0.5555555555555556,0.5121951219512195,OVER,0.0,True,False,False,14.1509009009009,0.75
