Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Saddiq Bey,21.6,DET,Wing,1887,41,-1.0%,43,-0.9%,41,-0.9%,93,+7.8%,72,+1.8%,75,+3.6%,13,-4.2%,25,-2.3%
Precious Achiuwa,21.1,MIA,Big,685,26,-2.1%,6,-6.6%,3,-9.2%,52,+0.0%,7,-6.0%,89,+7.0%,36,-1.1%,66,+1.0%
Tyrese Maxey,20.0,PHI,Combo,800,15,-3.2%,17,-3.7%,90,+5.3%,22,-4.5%,67,+1.4%,4,-11.4%,14,-4.0%,6,-6.1%
Zeke Nnaji,19.8,DEN,Big,290,27,-2.1%,53,+0.2%,18,-3.8%,74,+3.2%,35,-1.2%,36,-2.2%,15,-3.7%,16,-3.3%
R.J. Hampton,19.7,DEN,Wing,176,3,-6.1%,83,+3.5%,19,-3.7%,10,-7.1%,11,-4.7%,6,-10.6%,6,-6.6%,2,-7.6%
R.J. Hampton,19.7,ORL,Combo,574,83,+2.3%,96,+7.1%,42,-0.8%,7,-8.7%,15,-3.9%,98,+13.0%,68,+1.2%,86,+3.1%
Immanuel Quickley,21.4,NYK,Combo,1226,64,+0.9%,86,+4.0%,81,+3.5%,45,-1.1%,72,+1.8%,30,-3.2%,37,-1.1%,27,-2.0%
Payton Pritchard,22.8,BOS,Combo,1234,43,-0.8%,43,-0.9%,29,-2.3%,49,-0.4%,31,-1.7%,35,-2.4%,59,+0.5%,53,-0.1%
Jaden McDaniels,20.1,MIN,Forward,1450,73,+1.4%,38,-1.4%,57,+0.7%,20,-5.1%,35,-1.1%,68,+2.4%,92,+4.4%,92,+3.9%
Malachi Flynn,22.5,TOR,Combo,895,14,-3.4%,25,-2.5%,48,-0.1%,8,-7.8%,25,-2.6%,66,+2.2%,43,-0.7%,53,-0.1%
