Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Jonas Jerebko,31.7,GSW,Big,105,28,-8.8,-21,50,+0.9,9,-5.9%,88,-2.8%,99,+11.8%,73,+3.5,20,+9.7,32,+3.8%,78,+1.8%,6,+10.3%,68,-2.6
Nikola Jokic,23.7,DEN,Big,556,98,+34.8,+56,84,+10.6,63,+3.0%,13,+3.4%,78,+3.9%,86,+5.9,98,-24.2,96,-10.3%,82,+2.0%,64,-1.3%,72,-2.9
Enes Kanter,26.5,POR,Big,460,63,+2.0,+5,46,+0.2,23,-3.1%,38,+0.9%,98,+11.6%,60,+1.2,63,-1.9,44,+1.6%,29,-1.5%,88,-5.7%,87,-6.0
Caris LeVert,24.2,BKN,Wing,144,93,+22.7,+19,75,+8.0,57,+2.0%,97,-4.9%,5,-10.1%,97,+11.8,94,-14.7,76,-2.6%,84,+2.4%,75,-3.3%,68,-2.5
Kawhi Leonard,27.3,TOR,Forward,939,80,+12.5,+32,94,+17.0,68,+3.9%,38,+0.9%,97,+10.0%,98,+12.2,33,+4.5,21,+5.6%,99,+5.9%,51,+0.6%,65,-2.4
Meyers Leonard,26.7,POR,Big,166,58,+0.7,+2,58,+3.9,67,+3.5%,98,-5.0%,1,-12.5%,22,-6.1,40,+3.2,38,+2.9%,47,+0.0%,85,-5.3%,14,+5.1
Damian Lillard,28.3,POR,Point,650,48,-1.8,-5,87,+11.5,64,+3.1%,50,+0.3%,57,+0.9%,64,+2.1,17,+13.3,7,+9.1%,53,+0.2%,87,-5.6%,43,+0.1
Shaun Livingston,33.1,GSW,Combo,321,18,-12.7,-31,11,-11.5,5,-8.0%,73,-1.2%,76,+3.5%,31,-3.2,45,+1.2,65,-1.3%,27,-1.7%,36,+2.5%,62,-2.1
Kevon Looney,22.7,GSW,Big,429,83,+13.8,+30,80,+9.5,75,+4.6%,65,-0.5%,55,+0.6%,85,+5.6,75,-4.3,83,-4.2%,11,-2.7%,93,-6.6%,54,-1.4
Brook Lopez,30.6,MIL,Big,437,68,+4.5,+9,52,+1.3,53,+1.5%,76,-1.4%,32,-2.5%,7,-9.9,68,-3.2,77,-3.0%,9,-2.8%,62,-1.0%,48,-0.5
