Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Harrison Barnes,26.4,SAC,Forward,948,68,+1.5,55,+0.5,2,-7.4%,71,-0.9%,6,-6.6,2,-5.4,43,-2.8
Will Barton,27.8,DEN,Wing,1189,29,-3.0,39,-2.0,34,-1.1%,63,-0.5%,65,+1.3,46,-0.3,78,+8.7
Nicolas Batum,29.9,CHA,Wing,2338,45,-1.0,62,+1.2,47,-0.3%,53,-0.0%,33,-1.8,66,+0.8,7,-17.5
Jerryd Bayless,30.2,MIN,Point,637,16,-5.9,13,-6.6,60,+0.7%,13,+2.0%,50,+0.1,31,-1.3,76,+7.8
Aron Baynes,31.9,BOS,Big,810,63,+0.9,49,-0.5,46,-0.3%,56,-0.2%,65,+1.2,60,+0.4,65,+4.0
Kent Bazemore,29.3,ATL,Wing,1639,19,-5.0,24,-4.3,40,-0.8%,73,-1.1%,39,-1.1,56,+0.2,30,-7.0
Bradley Beal,25.3,WAS,Wing,3025,95,+8.2,93,+6.1,40,-0.8%,96,-3.0%,68,+1.6,61,+0.5,74,+6.9
Malik Beasley,21.9,DEN,Wing,1789,64,+1.0,65,+1.3,26,-1.7%,59,-0.3%,41,-1.0,44,-0.4,41,-3.6
Michael Beasley,29.8,LAL,Big,254,53,-0.2,65,+1.3,86,+3.0%,14,+1.9%,92,+5.2,96,+5.3,29,-7.3
Marco Belinelli,32.6,SAS,Wing,1796,73,+2.6,67,+1.5,85,+3.0%,68,-0.8%,36,-1.5,56,+0.2,15,-12.1
DeAndre' Bembry,24.3,ATL,Wing,1873,44,-1.1,43,-1.5,64,+1.0%,26,+1.2%,51,+0.1,65,+0.7,37,-4.6
Dragan Bender,21.0,PHX,Big,776,42,-1.4,45,-1.1,52,+0.0%,40,+0.4%,74,+2.2,69,+1.0,70,+5.6
Davis Bertans,26.0,SAS,Big,1594,97,+10.0,97,+9.0,50,-0.1%,61,-0.4%,54,+0.4,34,-1.1,84,+10.7
Patrick Beverley,30.3,LAC,Combo,2121,88,+4.8,63,+1.2,92,+4.4%,59,-0.3%,87,+4.1,89,+3.3,55,+1.0
Bismack Biyombo,26.2,CHA,Big,755,9,-8.4,17,-5.5,48,-0.2%,25,+1.2%,36,-1.4,35,-1.0,48,-1.7
Nemanja Bjelica,30.5,SAC,Big,1795,86,+4.5,94,+6.7,30,-1.4%,82,-1.5%,32,-2.1,44,-0.4,24,-8.4
Eric Bledsoe,28.9,MIL,Point,2266,79,+3.3,85,+4.1,25,-1.8%,80,-1.4%,60,+0.8,55,+0.2,69,+5.2
Bojan Bogdanovic,29.5,IND,Forward,2547,60,+0.6,75,+2.5,14,-3.0%,56,-0.2%,28,-2.4,29,-1.5,39,-3.9
Andrew Bogut,33.9,GSW,Big,126,77,+3.2,99,+11.1,0,-11.9%,3,+3.8%,27,-2.5,11,-3.3,87,+11.6
Devin Booker,22.0,PHX,Combo,2239,97,+9.2,97,+9.3,81,+2.5%,69,-0.8%,46,-0.3,68,+1.0,23,-9.2
Avery Bradley,27.9,LAC,Wing,1462,15,-6.2,28,-3.5,26,-1.8%,25,+1.2%,18,-3.7,24,-1.8,24,-8.6
Avery Bradley,27.9,MEM,Wing,442,61,+0.6,76,+2.6,27,-1.7%,6,+2.8%,30,-2.1,6,-4.2,95,+19.1
Corey Brewer,32.7,PHI,Forward,120,0,-23.6,0,-31.2,69,+1.4%,100,-5.9%,87,+4.1,99,+7.0,5,-21.1
Corey Brewer,32.7,SAC,Wing,332,51,-0.3,36,-2.3,100,+9.2%,49,+0.2%,95,+6.4,100,+7.6,19,-10.2
Malcolm Brogdon,25.9,MIL,Combo,1820,57,+0.3,65,+1.3,79,+2.2%,23,+1.4%,58,+0.6,60,+0.5,53,+0.2
MarShon Brooks,29.8,MEM,Wing,368,26,-3.5,24,-4.3,94,+5.0%,74,-1.1%,72,+2.0,66,+0.8,77,+8.5
Jaylen Brown,22.0,BOS,Wing,1852,17,-5.5,19,-5.2,42,-0.6%,72,-1.0%,74,+2.2,38,-0.8,97,+21.6
Lorenzo Brown,28.2,TOR,Wing,147,0,-20.3,0,-20.7,5,-5.2%,38,+0.5%,10,-5.3,9,-3.6,36,-4.7
Reggie Bullock,27.6,DET,Wing,1352,97,+9.1,99,+12.9,19,-2.3%,7,+2.7%,28,-2.4,32,-1.2,29,-7.3
Reggie Bullock,27.6,LAL,Wing,519,58,+0.4,75,+2.5,6,-4.8%,85,-1.7%,80,+2.9,57,+0.3,92,+15.6
Trey Burke,26.0,NYK,Point,677,66,+1.3,49,-0.5,48,-0.2%,37,+0.6%,18,-3.8,25,-1.7,17,-11.6
Trey Burke,26.0,DAL,Point,407,98,+10.6,98,+9.5,22,-2.1%,68,-0.8%,52,+0.2,27,-1.6,89,+13.2
Alec Burks,27.3,UTA,Wing,255,75,+2.8,20,-4.9,66,+1.1%,15,+1.9%,75,+2.4,44,-0.5,93,+16.0
Alec Burks,27.3,CLE,Wing,954,34,-2.5,59,+0.9,34,-1.1%,27,+1.1%,47,-0.2,53,+0.1,50,-0.8
Alec Burks,27.3,SAC,Wing,111,17,-5.6,62,+1.1,9,-3.9%,1,+4.9%,3,-7.6,0,-7.3,72,+6.1
Jimmy Butler,29.1,MIN,Wing,361,7,-8.9,18,-5.4,44,-0.5%,77,-1.2%,6,-6.3,35,-1.0,3,-27.1
Jimmy Butler,29.1,PHI,Forward,1823,72,+2.1,76,+2.6,81,+2.5%,85,-1.7%,59,+0.7,71,+1.2,37,-4.4
Bruno Caboclo,23.1,MEM,Forward,783,79,+3.3,76,+2.8,84,+2.8%,78,-1.3%,86,+4.0,74,+1.4,91,+14.5
Jose Calderon,37.1,DET,Combo,580,2,-12.7,4,-10.6,12,-3.4%,41,+0.4%,4,-6.9,3,-4.7,17,-11.6
Kentavious Caldwell-Pope,25.7,LAL,Wing,1989,69,+1.5,47,-0.8,66,+1.1%,17,+1.7%,75,+2.3,62,+0.5,82,+9.6
Isaiah Canaan,27.4,PHX,Combo,500,24,-3.8,32,-2.8,28,-1.6%,2,+4.1%,55,+0.4,50,-0.1,68,+4.9
Clint Capela,24.5,HOU,Big,2244,39,-1.9,38,-2.0,88,+3.2%,89,-2.0%,94,+5.6,91,+3.7,87,+11.5
DeMarre Carroll,32.3,BKN,Forward,1696,66,+1.3,44,-1.2,85,+3.0%,76,-1.2%,59,+0.7,68,+1.0,47,-1.9
Vince Carter,41.8,ATL,Big,1322,25,-3.7,42,-1.5,3,-6.2%,51,+0.1%,4,-6.7,11,-3.3,8,-17.1
Michael Carter-Williams,27.1,ORL,Combo,222,93,+6.5,88,+4.7,55,+0.3%,100,-6.3%,83,+3.5,83,+2.2,74,+7.1
Omri Casspi,30.4,MEM,Forward,492,82,+3.8,50,-0.3,94,+4.8%,77,-1.3%,90,+4.9,92,+3.9,61,+2.9
Willie Cauley-Stein,25.2,SAC,Big,2222,68,+1.5,69,+1.8,4,-6.0%,63,-0.5%,8,-5.6,5,-4.6,47,-1.8
Tyson Chandler,36.1,LAL,Big,785,57,+0.4,28,-3.6,71,+1.5%,70,-0.9%,81,+3.0,72,+1.2,83,+10.1
Wilson Chandler,31.5,PHI,Big,951,90,+5.5,93,+5.9,66,+1.1%,78,-1.3%,53,+0.3,78,+1.8,22,-9.5
Wilson Chandler,31.5,LAC,Forward,210,11,-7.7,2,-12.8,79,+2.3%,61,-0.4%,80,+2.9,42,-0.6,97,+23.0
Marquese Chriss,21.3,CLE,Big,394,7,-9.4,3,-10.7,67,+1.2%,60,-0.4%,58,+0.7,67,+0.8,49,-1.5
