Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Joel Embiid,25.6,PHI,Big,144,0,+17.1%,42,+0.5%,18,+2.7%,71,-1.6%,38,+1.1%,84,-3.2%,34,+1.7%,68,-1.5%
James Ennis,29.3,ORL,Forward,119,43,+1.8%,12,+4.1%,44,+0.6%,67,-1.1%,61,-0.5%,20,+2.4%,94,-5.9%,78,-3.5%
Dorian Finney-Smith,26.5,DAL,Forward,190,95,-7.9%,14,+3.5%,17,+2.7%,53,-0.1%,21,+2.6%,57,-0.3%,93,-5.7%,97,-6.0%
Evan Fournier,27.0,ORL,Wing,170,2,+11.6%,28,+1.7%,23,+2.3%,21,+2.3%,9,+4.7%,47,+0.1%,96,-6.5%,98,-6.3%
Danilo Gallinari,31.2,OKC,Big,211,3,+11.4%,39,+0.5%,42,+0.7%,70,-1.5%,65,-0.8%,99,-8.0%,3,+8.3%,47,+0.3%
Marc Gasol,34.8,TOR,Big,226,31,+2.8%,90,-5.5%,39,+0.9%,62,-1.0%,55,-0.1%,12,+3.3%,27,+2.4%,9,+5.6%
Paul George,29.5,LAC,Wing,475,58,-0.8%,62,-0.9%,57,-0.6%,48,+0.1%,58,-0.5%,43,+0.5%,40,+0.8%,38,+1.4%
Rudy Gobert,27.3,UTA,Big,270,3,+9.7%,79,-3.6%,68,-1.4%,3,+5.9%,11,+4.5%,94,-4.4%,15,+3.5%,62,-0.9%
Eric Gordon,30.9,HOU,Wing,409,38,+2.2%,27,+1.8%,48,+0.2%,93,-4.2%,84,-3.9%,8,+4.0%,72,-1.8%,25,+2.2%
Jerami Grant,25.6,DEN,Big,652,55,-0.4%,71,-1.8%,28,+1.8%,23,+2.2%,14,+4.1%,75,-2.1%,54,-0.2%,73,-2.3%
Danny Green,32.4,LAL,Wing,521,66,-2.2%,63,-0.9%,76,-1.8%,37,+1.3%,60,-0.5%,31,+1.4%,51,-0.0%,37,+1.4%
JaMychal Green,29.4,LAC,Big,208,39,+1.9%,74,-2.4%,23,+2.2%,69,-1.5%,43,+0.8%,42,+0.6%,38,+1.0%,34,+1.6%
Jeff Green,33.2,HOU,Forward,336,16,+4.7%,58,-0.6%,45,+0.6%,31,+1.6%,24,+2.2%,85,-3.3%,33,+1.8%,69,-1.6%
Tim Hardaway Jr.,27.6,DAL,Wing,203,9,+6.7%,76,-3.1%,90,-3.4%,0,+7.4%,15,+4.0%,16,+3.0%,87,-3.8%,61,-0.8%
James Harden,30.2,HOU,Point,445,89,-6.5%,38,+0.6%,18,+2.7%,29,+1.7%,12,+4.4%,45,+0.4%,92,-5.4%,91,-5.0%
Montrezl Harrell,25.8,LAC,Big,231,15,+4.9%,10,+4.5%,47,+0.4%,51,+0.0%,48,+0.4%,70,-1.5%,86,-3.5%,89,-4.9%
Gary Harris,25.1,DEN,Wing,379,90,-6.5%,35,+1.1%,48,+0.3%,7,+3.9%,13,+4.2%,39,+0.8%,95,-6.0%,93,-5.3%
Tobias Harris,27.3,PHI,Forward,148,23,+3.5%,94,-6.7%,14,+2.9%,96,-4.7%,73,-1.8%,3,+5.9%,23,+2.6%,4,+8.5%
Gordon Hayward,29.6,BOS,Forward,157,4,+9.1%,49,-0.0%,9,+3.8%,58,-0.8%,20,+3.0%,53,-0.1%,83,-2.9%,77,-3.0%
George Hill,33.5,MIL,Combo,268,54,-0.3%,9,+4.7%,4,+4.7%,97,-4.7%,53,+0.0%,71,-1.6%,84,-3.1%,88,-4.7%
Justin Holiday,30.6,IND,Wing,131,97,-8.4%,18,+2.8%,92,-3.6%,68,-1.4%,88,-4.9%,18,+2.9%,59,-0.7%,27,+2.1%
Al Horford,33.4,PHI,Big,128,14,+5.1%,29,+1.6%,98,-5.7%,56,-0.3%,94,-6.0%,74,-2.1%,6,+6.4%,16,+4.4%
Danuel House,26.4,HOU,Forward,276,52,-0.1%,63,-1.0%,70,-1.5%,11,+3.2%,28,+1.8%,96,-4.6%,13,+3.8%,60,-0.8%
Dwight Howard,33.9,LAL,Big,253,33,+2.7%,83,-3.9%,40,+0.9%,8,+3.7%,10,+4.6%,51,+0.0%,58,-0.7%,58,-0.6%
Serge Ibaka,30.1,TOR,Big,251,84,-4.0%,18,+2.9%,61,-0.7%,49,+0.1%,62,-0.6%,78,-2.4%,49,+0.0%,73,-2.3%
Andre Iguodala,35.8,MIA,Forward,409,78,-3.2%,46,+0.1%,32,+1.5%,66,-1.1%,49,+0.4%,54,-0.1%,57,-0.4%,57,-0.6%
Joe Ingles,32.1,UTA,Forward,234,93,-7.4%,3,+8.1%,15,+2.8%,78,-2.1%,44,+0.7%,62,-0.5%,99,-8.3%,99,-8.8%
Reggie Jackson,29.5,LAC,Combo,162,29,+2.8%,82,-3.8%,13,+3.2%,68,-1.4%,29,+1.8%,60,-0.4%,23,+2.5%,28,+2.0%
LeBron James,34.8,LAL,Forward,759,73,-2.8%,56,-0.4%,71,-1.5%,64,-1.1%,81,-2.6%,28,+1.6%,35,+1.3%,22,+2.9%
Nikola Jokic,24.7,DEN,Big,694,12,+5.7%,88,-5.4%,22,+2.4%,20,+2.4%,8,+4.8%,30,+1.4%,63,-0.9%,43,+0.6%
Kyle Korver,38.6,MIL,Wing,115,71,-2.7%,38,+0.7%,20,+2.6%,38,+1.3%,18,+3.8%,88,-3.8%,60,-0.7%,87,-4.6%
